zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
302,4,8721,2344,174,174,1108,438,0,700,801,16790,0,0.391,0.028,236.28,0
303,4,7942,2200,921,985,878,1422,0,637,192,1405,0,0.415,0.054,920.1,0
304,4,7881,2189,4513,4883,875,37,0,632,585,38392,107,0.372,0.058,7064.86,0
305,4,4898,1299,2185,3035,490,425,0,393,359,0,0,0.402,0.021,2796.89,0
306,4,20037,5946,401,513,2925,1805,0,1607,1509,12814,0,0.279,0.037,1793.54,0
307,4,19476,5849,390,881,3015,172,0,1562,873,19925,0,0.278,0.052,3470.92,0
308,4,18415,5432,1060,2332,2762,3080,0,1477,3937,30437,0,0.308,0.032,7373.45,0
309,4,13498,4078,702,990,2163,4873,0,1083,409,20387,0,0.234,0.06,1144.44,0
310,4,18279,5392,5003,5664,2326,1516,0,1466,703,29896,0,0.338,0.03,9197.78,0
311,4,10248,2487,662,730,1060,3274,0,822,65,2500671,0,0.379,0.012,1208.45,0
312,4,20503,5775,576,838,2904,1609,0,1645,195,6907,0,0.381,0.023,1341.8,0
313,4,14917,4466,902,1241,2209,4129,0,1197,296,12578,0,0.334,0.026,2249.19,0
314,4,7905,1896,3606,3810,980,1946,14143,634,533,231,0,0.346,0.046,3970.84,0
315,4,17494,5222,1878,2631,2199,3589,0,1403,434,11580,0,0.341,0.01,3066.55,0
316,4,9331,2689,1785,2277,1195,1344,0,748,779,0,193,0.331,0.015,3162.17,0
317,4,12442,3485,3330,3746,1454,2454,0,998,253,0,0,0.334,0.035,6349.17,0
318,4,27457,8221,881,1157,3509,2245,360,2202,533,81560,0,0.352,0.046,2929.28,0
319,4,31522,8589,1540,2143,4263,8024,0,2528,1192,591749,0,0.365,0.029,2474.4,0
320,4,19119,5542,2185,3045,2648,4482,0,1534,207,6288,0,0.402,0.014,5305.34,0
321,4,21074,5970,3030,4412,2718,6701,240,1690,575,6084,181,0.397,0.041,8296.39,0
322,4,10657,3010,1131,1425,1415,373,0,855,728,4016,129,0.438,0.037,2462.57,0
323,4,18755,4642,375,375,2173,1699,0,1504,65,651109,0,0.357,0.025,924.22,0
324,4,16747,5014,335,335,2422,0,0,1343,777,8485,0,0.302,0.031,0,0
325,4,15759,4718,1658,3907,2337,1250,0,1264,725,6099,0,0.299,0.04,5103.16,0
326,4,26964,8322,1049,1882,3590,1889,0,2163,637,0,0,0.35,0.035,4847.63,0
327,4,26003,7105,1816,2420,3559,2317,0,2086,1185,19717,0,0.372,0.032,4763.79,0
328,4,7758,2198,3370,3916,1027,5953,0,622,229,6593,0,0.314,0.011,6325.72,0
329,4,7647,2405,279,734,1229,505,31571,613,88,3363,0,0.276,0.055,1229.11,0
330,4,17813,5414,480,864,3205,2334,0,1429,1552,3109,0,0.266,0.056,2452.65,0
331,4,15474,4776,431,488,2821,0,0,1241,797,10604,0,0.25,0.079,742.21,0
332,4,18134,5413,2645,3431,2731,1630,2399,1455,794,100614,0,0.27,0.037,5913.87,0
333,4,29235,8499,1548,1979,4468,2578,0,2345,1091,33461,0,0.339,0.021,4636.74,0
334,4,22588,6743,1578,2044,3139,3470,0,1812,1763,80223,0,0.301,0.034,2716.54,0
335,4,29219,7379,3755,4699,4200,4654,616,2344,322,314314,0,0.331,0.036,8189.87,0
336,8,19842,5870,1123,1431,2548,2047,0,1658,507,0,0,0.32,0.029,2313.89,0
337,8,14351,4246,1241,1549,1869,3936,0,1199,927,45339,0,0.268,0.099,2129.68,0
338,8,19430,6149,543,895,2722,1473,0,1623,598,25703,0,0.317,0.083,2147.46,0
339,8,17272,4865,345,578,2375,3017,0,1443,335,0,0,0.332,0.034,1477.58,0
340,8,18396,5491,3284,3791,2105,1022,0,1537,1522,8592,0,0.331,0.052,6554.01,0
341,8,22824,6484,1510,1781,2889,3331,1722,1907,1267,0,0,0.319,0.069,2952.05,0
342,8,17830,5322,1028,1028,2219,1581,0,1490,1201,0,0,0.27,0.091,1977.13,0
343,8,14346,4511,441,441,1696,857,0,1198,262,8,0,0.329,0.036,1328.5,0
344,8,23893,7262,667,1301,3496,3098,0,1996,498,16248,0,0.246,0.09,1893.89,0
345,8,27032,8142,588,733,3795,1104,0,2258,672,9862,0,0.25,0.063,2047.01,0
346,8,17188,5545,616,670,2412,368,0,1436,454,3219,0,0.236,0.042,1516.96,0
347,8,8611,2796,172,194,1176,0,0,719,39,0,0,0.268,0.084,514,0
348,8,18881,5994,436,713,2166,2638,0,1577,1274,4041,0,0.281,0.035,1575.84,0
349,8,26887,8844,538,1052,3227,3098,0,2246,2266,130904,27,0.351,0.052,2367.61,0
350,8,16380,4640,1579,2407,2084,1731,0,1368,1092,1000,0,0.315,0.037,5902.05,0
351,8,14740,4152,1084,1415,1833,1236,0,1231,317,0,0,0.343,0.034,2862.39,0
352,8,11372,3268,437,641,1392,3265,0,950,810,15352,0,0.295,0.099,1519.11,0
353,8,13355,4173,365,365,1633,594,0,1116,141,6448,0,0.267,0.096,543.82,0
354,8,21586,6502,511,630,3112,2635,0,1803,377,0,0,0.212,0.1,1258.62,0
355,8,15741,4770,1196,1638,2089,1516,0,1315,870,2211,0,0.235,0.111,1835.8,0
356,8,9139,2604,821,891,1231,406,0,763,174,16573,0,0.27,0.072,1473.21,0
357,8,17189,5026,1020,1099,2260,2532,0,1436,357,2200,0,0.331,0.035,1709.25,0
358,8,15452,4222,1543,1813,1942,2372,0,1291,551,10696,0,0.404,0.022,3081.01,0
359,8,13422,3835,2096,3254,1684,872,0,1121,2771,51218,0,0.379,0.036,5765.53,0
360,13,3980,1118,348,597,926,2517,269,337,119,207195,0,0.345,0.073,1524.94,0
361,13,7826,2038,3749,4240,1099,2373,0,662,762,11856,116,0.331,0.118,4620.18,0
362,13,11130,3235,1305,1417,1464,682,0,942,285,0,0,0.232,0.119,2334.99,0
363,13,9448,2872,636,730,1389,781,0,800,325,0,0,0.218,0.062,1054.08,0
364,13,10877,3410,735,1848,1616,221,0,921,212,1655,141,0.234,0.142,2020.33,0
365,13,15625,4246,483,816,2167,1888,0,1323,1484,1074,0,0.301,0.079,1270.09,0
366,13,8799,2404,826,826,1235,1893,0,745,350,0,0,0.357,0.06,1508.26,0
367,13,8265,2302,1369,1638,1121,1731,0,700,232,0,0,0.391,0.071,2436.01,0
368,13,11561,3108,1149,1149,1721,1177,0,979,59,2155,0,0.355,0.075,2059.08,0
369,13,12618,3392,422,422,1910,5343,0,1068,581,0,0,0.324,0.075,928.34,0
370,13,23328,6841,1966,2696,2924,882,0,1975,721,524,0,0.311,0.092,4840.88,0
371,13,16345,4822,2275,3505,2330,2023,518,1384,581,14836,0,0.247,0.115,5248.07,0
372,13,5231,1576,1124,1588,801,402,0,443,1803,0,0,0.277,0.03,3386.66,0
373,13,4621,1236,243,243,572,1707,0,391,664,839,0,0.311,0.051,1136.25,0
374,13,22294,6481,818,818,2982,2563,0,1887,704,0,0,0.344,0.043,2351.57,0
375,13,14462,4097,333,396,2136,377,0,1224,100,5412,0,0.316,0.042,1448.67,0
376,13,27817,7748,767,836,4084,2384,0,2355,265,128102,0,0.333,0.048,2206.32,0
377,13,12660,3556,553,624,1675,1136,0,1072,568,0,0,0.338,0.06,1088.26,0
378,13,13622,3585,1114,1325,1783,3407,0,1153,131,0,0,0.346,0.06,1723.24,0
379,13,9578,2456,192,192,1368,545,0,811,428,76731,0,0.386,0.049,425.33,0
380,14,10441,3203,209,209,1570,0,0,681,187,6272,0,0.208,0.155,826.62,0
381,14,9276,2584,283,331,1399,779,0,605,2539,27250,0,0.274,0.102,797.73,0
382,14,10839,3169,248,248,1579,809,0,707,275,14095,0,0.2,0.106,1243.14,0
383,14,11940,3767,239,286,1690,1694,0,779,327,1449,0,0.233,0.104,310.11,0
384,14,14657,4552,496,496,2067,2014,0,956,223,0,0,0.208,0.167,872.91,0
385,14,12714,3841,254,290,1847,1687,0,830,258,3389,0,0.23,0.127,805.32,0
386,14,14355,4337,287,379,2070,488,0,937,147,0,0,0.26,0.137,677.98,0
387,14,23748,6824,617,1160,3904,2689,2479,1549,150,94618,0,0.29,0.128,2553.12,0
388,14,14630,4216,565,773,2208,789,0,955,128,43559,0,0.239,0.099,1847.65,0
389,14,15930,4713,553,1022,2344,3189,0,1039,166,15726,0,0.228,0.139,1539.08,0
390,14,21294,6226,468,1133,3049,1530,0,1389,283,8310,0,0.273,0.127,2153.24,0
391,14,18579,5417,1476,1859,2702,2049,0,1212,542,2358,75,0.25,0.16,3056.44,0
392,14,8708,2517,382,382,1167,470,0,568,361,0,0,0.218,0.136,1089.41,0
393,14,11893,3369,2848,2942,1760,1796,0,776,2005,27170,0,0.252,0.128,4101.39,0
394,14,12090,3566,1324,1644,1755,3698,0,789,381,0,0,0.258,0.052,3574.5,0
395,14,17929,5304,408,821,2472,2222,0,1170,492,2825,0,0.247,0.122,2312.19,0
396,14,18252,5321,1648,1778,2508,978,0,1191,827,0,0,0.294,0.106,3095.08,0
397,14,10623,2992,1480,2625,1510,2738,0,693,836,0,0,0.289,0.084,5647.48,0
398,14,18876,5519,968,1227,2742,725,0,1232,1126,0,0,0.268,0.094,2093.14,0
399,14,21225,6243,567,1771,3340,3182,0,1385,1226,135922,0,0.232,0.125,1851.32,0
400,14,32650,9688,2004,2561,5129,731,0,2130,1227,14907,0,0.193,0.148,6156.91,0
401,14,19005,5309,2052,3068,2988,4849,0,1240,1838,2411,0,0.224,0.151,5891.9,0
402,14,29442,8509,1358,1852,4422,3040,0,1921,1690,24135,0,0.278,0.063,3493.03,0
403,14,23330,6340,497,497,3670,3215,0,1522,514,4718,0,0.272,0.095,1037.23,0
404,14,21268,6201,1607,1784,3198,2971,0,1388,62,341670,0,0.277,0.125,2806.6,0
405,14,28136,8062,1493,2269,4852,6007,0,1836,798,125506,0,0.329,0.08,5215.18,0
406,13,1185,432,2386,2477,238,3981,0,80,0,0,0,0.305,0.038,2855.63,0
407,14,4480,1374,758,758,1102,0,0,304,113,0,0,0.245,0.025,886.97,0
408,14,10823,3879,5068,5254,2835,4185,0,734,247,0,498,0.297,0.027,5653.34,0
409,15,10027,2310,954,954,1593,2418,0,346,38,85078,0,0.209,0.029,2056.84,0
410,15,22331,6454,911,1101,3753,3742,0,770,26,237410,0,0.278,0.074,2457.63,0
411,15,10230,3119,349,986,1653,2825,0,353,1401,77581,0,0.232,0.093,1239.06,0
412,15,23685,7113,1032,1578,3966,3087,0,816,2822,75656,0,0.233,0.113,3644.11,0
413,15,22147,6438,2462,2659,3818,2197,0,763,476,17189,0,0.248,0.115,5984.54,0
414,15,32588,9557,652,997,5793,4740,2382,1123,427,240140,0,0.201,0.025,1067.79,0
415,15,29549,8900,1148,1442,5082,4267,0,1019,2376,58972,0,0.27,0.053,2937.33,0
416,15,19094,5567,386,476,3354,5301,0,658,4537,171941,0,0.214,0.185,1128.78,0
417,15,23901,6848,481,481,3927,3141,1018,824,1144,163731,0,0.153,0.065,1047.21,0
418,15,23200,6925,907,1522,3808,1062,0,800,1821,3371,0,0.2,0.099,2410.88,0
419,15,18905,5512,1608,1979,3234,4154,0,652,626,60169,0,0.321,0.059,2821.68,0
420,15,2171,608,758,1196,388,0,0,75,2053,249313,0,0.315,0.074,2082.14,0
421,15,3057,828,602,881,428,1468,92,105,1863,51990,228,0.205,0.05,1662.27,0
422,15,15012,4495,327,607,2383,1659,0,517,661,6548,0,0.202,0.097,1086.3,0
423,15,1992,636,1627,1969,324,0,0,69,1849,13279,0,0.118,0.165,3305.59,0
424,15,19721,5700,1810,3484,3238,5875,0,680,1403,14128,0,0.197,0.104,6351.33,0
425,15,27900,7793,2403,2814,4443,4069,0,962,302,503831,0,0.307,0.091,4531.44,0
426,15,35367,9879,2921,3287,5011,4925,0,1219,1971,1529,0,0.282,0.058,6310.74,0
427,15,36058,10100,1824,1994,5520,4330,0,1243,1958,5175,0,0.246,0.048,2916.45,0
428,15,30078,8979,2196,2273,4463,2884,0,1037,1798,56402,0,0.273,0.079,3369.09,0
429,15,18359,5306,395,470,3011,3998,0,633,647,36327,0,0.242,0.08,1841.34,0
430,15,20257,6102,435,1876,3330,2456,0,698,3151,19626,0,0.338,0.083,2760.8,0
431,15,12482,3536,389,389,2331,3843,0,430,865,211809,0,0.138,0.05,1280.79,0
432,15,12379,3684,380,380,2353,6451,0,427,104,9078,0,0.225,0.028,303.21,0
433,15,16590,4795,923,1085,4055,3229,0,1125,396,0,0,0.361,0.028,2730.3,0
434,15,25161,7511,617,1530,4536,357,0,867,317,1773,0,0.275,0.065,1441.52,0
435,15,42050,12820,841,921,7961,3652,0,1450,1937,27789,0,0.247,0.067,2988.45,0
436,15,0,0,146,1482,0,0,0,0,0,0,0,0.166,0.061,2866.9,0
437,20,8037,2290,1338,1660,1283,4908,0,428,228,0,217,0.236,0.055,3272.58,0
438,20,16524,4515,1178,1616,2604,1041,0,881,101,0,0,0.23,0.052,2885.8,0
439,20,17687,5010,1759,2350,2796,3298,0,943,298,55970,0,0.254,0.028,4028.48,0
440,20,9521,2659,852,953,1562,822,888,508,2966,90326,0,0.231,0.023,2901.82,0
441,20,8887,2441,403,1048,1456,1115,0,474,451,10641,0,0.248,0.049,2650.4,0
442,20,23893,6637,574,1006,3893,2439,8397,1274,411,88646,0,0.21,0.074,2019.63,0
443,20,20732,5840,2404,2914,3194,5430,0,1105,395,21881,0,0.23,0.031,5460.55,0
444,20,25468,7035,5021,6676,4257,6332,240,1358,2578,121450,0,0.255,0.032,12860.35,0
445,20,3836,1096,838,1157,629,0,0,205,240,46871,0,0.202,0.05,1852.33,0
446,20,22761,6466,3896,4880,3524,4608,1345,1213,541,271989,0,0.246,0.025,7484.14,0
447,20,19445,5857,516,1363,3487,4616,0,1037,177,8199,0,0.262,0.048,2572.76,0
448,20,11231,3237,556,594,1934,766,0,599,92,11331,0,0.229,0.025,1056.69,0
449,20,23950,6862,1077,2804,4239,6366,0,1277,136,36847,0,0.215,0.042,4574.21,0
450,15,9158,2709,319,723,1494,1433,0,301,62,63257,1274,0.153,0.055,1626.19,0
451,20,6668,1996,551,836,1277,2228,0,355,2221,41301,0,0.172,0.045,1378.34,0
452,20,4646,1298,757,1101,783,450,0,153,67,1538,0,0.178,0.085,3717.72,0
453,20,15164,4581,1189,1587,2634,1468,0,808,1749,39514,208,0.21,0.04,2961.86,0
454,20,22654,6173,453,904,3584,2234,0,1208,908,133332,0,0.234,0.044,1708.83,0
455,20,19970,5856,1251,1945,3487,1254,0,1065,3680,267423,0,0.212,0.06,2962.31,0
456,18,10963,3106,2203,4030,1818,8349,0,375,2446,74802,0,0.208,0.036,11015.65,0
457,18,5381,1503,681,1464,823,3805,0,184,5959,78927,0,0.243,0.057,2897.89,0
458,18,27690,8049,554,556,4537,2916,0,947,454,69700,0,0.271,0.048,1549.5,0
459,18,12180,3374,1288,1836,1967,2260,1201,417,1398,12960,0,0.259,0.046,3574.73,0
460,18,15102,4183,1220,1836,2564,4637,0,517,1073,107686,0,0.33,0.066,3638.93,0
461,18,24496,6730,490,994,4083,153,0,838,1336,6677,0,0.245,0.052,2338.75,0
462,18,24580,6983,1620,2278,4178,4249,0,841,257,539664,0,0.216,0.068,3887.71,0
463,18,23185,6819,2047,3109,3754,1931,0,793,2975,471293,109,0.253,0.03,5881.35,0
464,18,30316,8916,623,1138,5327,6297,0,1037,450,83841,0,0.197,0.068,4037.18,0
465,18,3885,1091,465,635,658,399,0,133,2053,616989,0,0.246,0.067,1665.97,0
466,18,2074,658,491,1206,267,0,0,71,4026,115243,0,0.301,0.034,2586.68,0
467,18,30108,8602,1093,1835,5011,3203,0,1030,483,46059,0,0.268,0.047,2769.38,0
468,18,229,66,942,1522,28,0,33,8,1515,742,0,0.174,0.05,2637.09,0
469,18,27585,7749,851,1315,4702,4587,0,944,573,88390,0,0.225,0.059,3479.62,0
470,18,11583,3272,578,1120,1960,4658,0,396,1629,27784,0,0.222,0.054,2502.87,0
471,18,25799,7544,584,1343,4389,951,0,883,2259,353132,0,0.221,0.076,3735.92,0
472,18,36,11,1,82,7,0,0,1,0,0,0,0.014,0.061,115.13,0
473,18,0,0,0,0,0,0,0,0,0,0,0,0.014,0.061,0,0
474,18,32315,9513,878,2347,5923,4926,0,1106,885,135613,0,0.254,0.037,4549.79,0
475,18,29071,8476,1121,1847,5014,4315,0,995,1355,36526,0,0.232,0.023,3466.11,0
476,18,27780,8300,1237,1722,5098,4420,0,950,3222,223324,0,0.215,0.037,3381.1,0
477,18,14362,4259,532,901,2444,2239,0,472,1249,0,0,0.234,0.047,2471.79,0
478,18,16857,4777,1927,2776,2815,3429,0,577,1832,122238,461,0.247,0.052,5154.72,0
479,18,0,0,0,64,0,0,0,0,0,0,0,0.014,0.061,204.62,0
480,21,6675,1835,7880,11404,957,1231,1219,547,1022,224421,0,0.274,0.035,12596.89,0
481,21,8951,2413,12571,19145,970,1277,1403,733,325,95899,0,0.305,0.009,19396.85,0
482,21,24,7,1236,2127,3,0,0,2,238,0,0,0.54,0.029,2384.29,0
483,21,858,252,627,1179,113,0,0,70,717,526326,42,0.164,0.029,1339.3,0
484,9,7801,2811,13338,14328,1762,0,1944,588,0,1334,0,0.31,0.059,20786.57,0
485,9,13955,3917,4962,5494,1863,1310,0,1052,2214,71452,0,0.327,0.065,7463.22,0
486,9,5048,1595,219,293,648,799,0,381,130,351,0,0.34,0.06,615.2,0
487,9,4209,1349,259,345,566,0,0,317,76,2450,0,0.266,0.059,578.66,0
488,9,14353,4138,1034,1219,1989,3446,0,1082,465,24549,0,0.311,0.054,2652.73,0
489,9,10135,2894,477,539,1499,1571,0,764,317,4018,100,0.308,0.056,1013.93,0
490,21,21175,5920,2883,3317,3222,5940,0,1734,1044,93039,0,0.339,0.033,5601.39,0
491,21,21147,5737,1847,2467,2759,2740,4397,1732,488,19512,167,0.339,0.021,2717.08,0
492,9,28232,8032,3816,4229,3921,4154,0,2129,1088,16036,213,0.301,0.052,6564.97,0
493,9,11512,3470,333,409,1526,1000,0,868,239,2485,0,0.267,0.086,725.07,0
494,9,11008,3512,884,884,1555,945,0,830,136,22986,0,0.238,0.08,1635.72,0
495,9,9041,2923,1806,1856,1384,1082,0,682,189,43974,0,0.231,0.085,2035.91,0
496,9,17148,4989,1647,1973,2440,2234,0,1293,1623,11975,0,0.236,0.07,5065.72,0
497,9,8060,2305,277,499,1721,2162,0,608,486,0,0,0.308,0.042,625.01,0
498,9,16235,4616,637,758,2480,1886,0,1224,1064,15202,0,0.295,0.043,1587.79,0
499,9,10697,2777,1941,1986,1694,600,1824,807,410,0,0,0.263,0.054,2452.03,0
500,9,14538,4063,402,597,2195,1039,0,1096,846,18436,0,0.278,0.073,792.13,0
501,21,12847,3408,4272,6047,1555,1590,0,1052,628,233326,0,0.295,0.029,7525.23,0
502,5,23416,7283,1345,1549,3267,1274,0,2583,346,38048,0,0.456,0.012,2302.91,0
503,5,30499,9181,1405,1830,4166,3073,0,3364,645,29084,0,0.399,0.012,3481.78,0
504,5,20750,5788,795,1354,2912,3426,639,2289,917,29203,0,0.401,0.013,3050.59,0
505,5,19179,5934,515,625,2401,3790,1229,2115,93,33891,0,0.366,0.021,1430.16,0
506,5,29460,8852,3589,4347,4225,5921,980,3249,1519,114839,213,0.411,0.01,7976.74,0
507,5,22815,6659,1516,1516,3221,2921,0,2516,689,7477,0,0.335,0.006,3318.68,0
508,5,18518,5536,6194,7560,2483,3260,3615,2042,2817,55107,79,0.359,0.038,15142.07,0
509,5,19446,5035,2759,3226,1395,4433,466,2145,40,95179,53,0.428,0.012,4517.48,0
510,5,20854,5967,1863,2712,1774,1921,0,2300,103,0,0,0.354,0.023,5499.66,0
511,5,14841,4663,297,297,1917,1358,0,1637,113,5150,0,0.363,0.011,527.64,0
512,5,482,186,235,354,43,0,0,53,0,708720,0,0.279,0.021,376.03,0
513,5,31812,8954,1512,1784,4359,2637,0,3509,522,35919,0,0.412,0.027,2332.6,0
514,5,4633,1266,1536,1805,601,3374,0,511,103,199498,0,0.391,0.021,2766.38,0
515,5,27502,8454,1780,1905,3635,2079,0,3033,151,61166,0,0.331,0.017,3008.95,0
516,5,22571,6734,1108,1317,3169,3036,0,2489,1427,16446,0,0.384,0.005,3497.4,0
517,5,19615,5676,631,749,2799,970,0,2163,57,13330,0,0.401,0.016,1930.59,0
518,5,31635,9964,1342,1920,4092,5570,0,3489,597,39895,0,0.338,0.023,4883.66,0
519,5,8063,2031,751,751,693,2012,0,889,13,0,0,0.389,0.021,826.32,0
520,22,28,10,1346,1466,0,0,0,3,57,10637,0,0.31,0.028,1542.77,0
521,5,25074,7794,542,1465,3336,934,0,2765,413,330453,0,0.381,0.012,2930.26,0
522,5,19294,5850,386,650,3220,1751,0,2128,696,24885,0,0.379,0.056,2495.05,0
523,5,23077,6781,1853,2005,3300,3101,1325,2545,709,41558,0,0.271,0.022,2864.77,0
524,5,16847,5410,381,381,2220,741,1838,1858,69,25745,0,0.353,0.008,1436.37,0
525,5,26610,8567,912,977,3477,1557,0,2935,856,123452,405,0.36,0.008,2029.11,0
526,5,27062,8444,3461,4026,3500,2804,240,2985,1512,63014,0,0.361,0.006,8715.84,0
527,22,10259,2832,549,795,1343,1017,289,1079,161,83352,0,0.315,0.017,1489.87,0
528,22,11830,3198,830,904,1855,3993,1002,1245,155,43270,0,0.361,0.008,1393.73,0
529,22,824,259,103,152,101,0,935,87,0,7269,0,0.275,0.028,180.95,0
530,22,3791,1063,217,312,478,639,0,399,106,35673,0,0.38,0.047,627.85,0
531,22,52,26,242,242,3,0,0,5,0,134114,0,0.014,0.028,328.02,0
532,1,18793,5693,2630,3017,2071,4157,250,2024,559,8896,0,0.416,0.035,3863.7,0
533,1,3723,1067,3046,4490,358,401,1169,401,1676,19952,0,0.365,0.035,9574.92,0
534,1,21943,7035,3280,4486,2033,2895,1734,2364,1726,34723,129,0.573,0.047,7916.32,0
535,1,31162,10154,2415,3095,3353,3439,2399,3357,990,70264,0,0.6,0.022,5750.38,0
536,1,15401,4991,4047,5087,1694,2989,0,1659,1419,24789,0,0.542,0.035,7398,0
537,1,3004,888,2487,3275,290,911,0,324,983,0,454,0.301,0.035,5690.56,0
538,1,20954,5868,1353,1730,2079,1434,536,2257,460,19172,0,0.569,0.062,3483.75,0
539,1,16691,5076,3718,4182,1688,2429,214,1798,331,27481,0,0.472,0.035,6731.62,0
540,1,25192,7622,1717,2474,2687,1915,0,2713,1310,6498,58,0.437,0.01,3262.98,0
541,1,13965,4119,1989,2351,1563,2161,0,1504,432,3993,0,0.486,0.032,4013.61,0
542,1,31000,9150,5431,6363,3255,4313,537,3339,1065,125190,0,0.414,0.027,9755.98,0
543,1,3191,1036,935,1047,272,909,0,344,257,37149,0,0.292,0.035,971.89,0
544,1,4853,1717,2197,2503,431,272,0,523,376,27884,0,0.57,0.035,3013.43,0
545,1,9420,2758,1979,2212,938,896,256,1015,656,0,0,0.451,0.065,3014.54,0
546,1,8992,2873,1265,1662,987,641,0,969,152,19002,0,0.445,0.035,2243.74,0
547,1,16745,4938,5852,6828,1612,2537,35229,1804,394,68740,544,0.437,0.06,10904.48,0
548,1,27673,8683,553,738,3639,1234,1099,2981,407,92169,0,0.321,0.015,2969.77,0
549,1,8006,2303,2362,2546,826,1167,0,862,849,64939,56,0.444,0.045,3822.79,0
550,1,7829,2346,1012,1175,828,669,0,843,174,124007,224,0.375,0.035,2325.95,0
551,1,15142,4655,3097,4068,1685,3173,1140,1631,361,17335,0,0.552,0.043,5953.53,0
552,1,17120,5764,3546,4128,2030,2354,805,1844,601,13570,56,0.513,0.035,5226.85,0
553,2,17826,4949,979,979,1594,930,0,2134,3470,359121,0,0.407,0.034,1141.83,0
554,1,11457,3422,714,907,1295,1070,25,1234,94,4607,0,0.38,0.068,2419.34,0
555,1,20916,6490,2433,2666,2330,768,252,2253,657,112710,0,0.407,0.025,4531.22,0
556,1,27964,8477,6102,6234,4060,3652,1181,3012,723,55290,465,0.448,0.008,9448.91,0
557,1,27008,7580,2747,3022,3209,1530,599,2909,392,412411,193,0.342,0.008,3091.78,0
558,1,20229,6192,1382,1918,2619,1340,1396,2179,522,48687,0,0.428,0.009,3354.96,0
559,1,13566,3116,2136,2518,1751,4537,0,1461,1396,107920,0,0.32,0.084,4318.06,0
560,1,13181,3834,1236,1366,3172,2511,1699,1420,181,0,0,0.343,0.011,1642.76,0
561,12,191,120,1395,3038,13,0,0,13,13945,0,0,0.143,0.142,10052.28,1
562,12,203,110,351,1763,19,0,0,14,10955,0,0,0.109,0.12,6567.73,1
563,17,15530,4345,983,1341,2482,6835,0,587,316,23355,134,0.225,0.058,2154.36,0
564,17,15154,4567,315,964,2472,1252,0,573,2317,83206,0,0.191,0.075,1762.08,0
565,17,15597,4645,312,603,2785,2689,0,589,1774,81650,0,0.172,0.078,1010.52,0
566,6,14160,4358,4394,4669,1312,1532,1262,2498,62,47070,0,0.496,0.04,5704.29,0
567,20,7519,2314,352,685,1286,324,0,401,2627,99801,0,0.196,0.112,1405.93,0
568,19,10852,3183,1066,1991,1887,1514,0,332,218,46924,0,0.278,0.105,7634.97,0
569,19,18847,5663,528,631,3508,2177,0,577,193,183600,0,0.225,0.085,1500.49,0
570,19,20007,5876,1062,2858,3711,4043,40708,657,0,0,0,0.24,0.053,4464.61,0
571,2,9,3,396,396,0,0,0,1,0,226426,0,0.014,0.038,438.13,0
572,2,21677,6647,1943,2447,2547,1830,1732,2595,111,94719,0,0.454,0.029,2647.67,0
573,2,19439,6211,2599,3031,2398,1699,19359,2327,196,176258,0,0.393,0.047,4342.29,0
574,2,13976,4281,385,528,1782,2257,0,1673,1305,17708,0,0.367,0.038,1935.24,0
575,2,27961,8530,4516,5333,2863,5211,0,3347,1016,22135,0,0.465,0.026,8533.39,0
576,2,16021,4983,320,446,1786,1137,0,1918,1278,14640,0,0.453,0.024,1434.31,0
577,2,25297,7464,3305,3741,2831,2347,3489,3028,863,50641,0,0.426,0.038,4860.45,0
578,3,17085,5132,6090,6438,1714,891,1611,1950,929,235104,0,0.408,0.063,7761.35,0
579,4,1520,410,4898,5165,211,1638,0,122,524,0,129,0.434,0.037,6311,0
580,4,15966,5043,1398,1991,2174,3733,0,1281,151,25795,0,0.329,0.041,3599.2,0
581,4,20559,6397,431,2470,3451,252,0,1649,1578,8636,0,0.235,0.042,4735.18,0
582,4,15257,4052,3507,6430,2307,3677,9870,1224,1108,243346,0,0.345,0.012,8382.06,0
583,4,14237,4494,2830,6766,2420,0,0,1142,3498,23525,0,0.246,0.041,9130.6,0
584,8,12392,3486,928,1270,1586,689,0,1035,67,13532,0,0.292,0.042,1697.54,0
585,14,3658,1064,1102,1698,450,2426,46846,239,213,154027,0,0.352,0.058,3107.11,0
586,15,16808,5032,340,340,2871,1213,0,579,746,0,0,0.168,0.097,143.89,0
587,15,29293,8858,586,586,5461,3540,0,1010,541,0,0,0.241,0.06,1268.2,0
588,15,15336,4511,1295,1295,2730,1031,0,529,504,61817,0,0.345,0.029,1094.84,0
589,15,15,4,57,57,3,0,0,1,0,1280749,0,0.014,0.074,80.09,0
590,15,9521,2784,220,499,1602,5425,0,328,20,110864,0,0.319,0.034,544.03,0
591,15,85,48,2,2,5,0,0,3,0,0,0,0.014,0.074,68.55,0
592,20,2066,585,106,725,347,752,0,68,1,46783,0,0.121,0.109,1541.89,0
593,20,17478,4714,1336,1620,2921,4317,0,932,185,260432,27,0.212,0.039,3887.27,0
594,18,16292,4393,1578,2304,2819,2592,4050,557,555,100328,86,0.264,0.048,4415.43,0
595,9,1272,420,1333,3276,267,1037,0,96,139,37252,0,0.319,0.031,4056.16,0
596,21,14510,4018,816,1177,2153,1887,0,1188,57,11520,0,0.335,0.025,1968.72,0
